WKT,ID
"MULTIPOLYGON (((-1.07985564 50.82964453,-1.07982220 50.82969761,-1.07973826 50.82967675,-1.07977213 50.82962352,-1.07985564 50.82964453,-1.07985564 50.82964453)))",BLD-HCC02
"MULTIPOLYGON (((-1.07965389 50.82950380,-1.07963521 50.82953336,-1.07991342 50.82960358,-1.07996086 50.82952834,-1.07968282 50.82945801,-1.07966390 50.82948795,-1.07965389 50.82950380)))",BLD-HCC01
"MULTIPOLYGON (((-1.04387404 50.78692384,-1.04378804 50.78691744,-1.04379215 50.78689526,-1.04387819 50.78690161,-1.04387404 50.78692384,-1.04387404 50.78692384)))",BLD-ECC02
"MULTIPOLYGON (((-1.04425120 50.78674100,-1.04422738 50.78679341,-1.04424300 50.78679620,-1.04422751 50.78683089,-1.04421225 50.78682810,-1.04416611 50.78693182,-1.04398623 50.78689969,-1.04407135 50.78670867,-1.04425120 50.78674100,-1.04425120 50.78674100)))",BLD-ECC01
"MULTIPOLYGON (((-1.10074285 50.79353598,-1.10070475 50.79356173,-1.10074171 50.79358372,-1.10077995 50.79355802,-1.10078244 50.79355611,-1.10078543 50.79355254,-1.10078692 50.79354862,-1.10078683 50.79354458,-1.10078515 50.79354068,-1.10078200 50.79353717,-1.10077757 50.79353426,-1.10077213 50.79353215,-1.10076604 50.79353096,-1.10075968 50.79353076,-1.10075343 50.79353158,-1.10074770 50.79353335,-1.10074285 50.79353598)))",BLD-T0029
"MULTIPOLYGON (((-1.09829746 50.79644756,-1.09827124 50.79646651,-1.09822390 50.79650142,-1.09823965 50.79651030,-1.09828522 50.79658991,-1.09804718 50.79664168,-1.09802043 50.79662719,-1.09799078 50.79664900,-1.09796758 50.79663598,-1.09796953 50.79663459,-1.09797321 50.79663666,-1.09800135 50.79661652,-1.09795467 50.79659048,-1.09798379 50.79656942,-1.09798072 50.79656770,-1.09799201 50.79655952,-1.09797802 50.79655176,-1.09800717 50.79653068,-1.09802126 50.79653832,-1.09803303 50.79652978,-1.09803303 50.79652978,-1.09813373 50.79645702,-1.09813373 50.79645702,-1.09814470 50.79644894,-1.09813083 50.79644149,-1.09816019 50.79641999,-1.09817381 50.79642749,-1.09818533 50.79641899,-1.09818841 50.79642058,-1.09824359 50.79638036,-1.09830981 50.79641705,-1.09828300 50.79643650,-1.09829985 50.79644573,-1.09829746 50.79644756)))",BLD-US303
"MULTIPOLYGON (((-1.09953661 50.79477870,-1.09953661 50.79477870,-1.09952141 50.79463430,-1.09951517 50.79457499,-1.09951381 50.79457431,-1.09951359 50.79457195,-1.09951477 50.79457145,-1.09950181 50.79444841,-1.09949987 50.79442963,-1.09952646 50.79442832,-1.09952270 50.79439752,-1.09949669 50.79439879,-1.09949260 50.79435920,-1.09948482 50.79428399,-1.09950194 50.79428320,-1.09949305 50.79419810,-1.09947602 50.79419881,-1.09947174 50.79415740,-1.09948854 50.79415673,-1.09946273 50.79390517,-1.09944212 50.79390603,-1.09944202 50.79390504,-1.09944143 50.79390506,-1.09944129 50.79390372,-1.09944103 50.79390373,-1.09944046 50.79389824,-1.09944079 50.79389823,-1.09944065 50.79389687,-1.09944103 50.79389686,-1.09943658 50.79385369,-1.09934654 50.79385731,-1.09934821 50.79387256,-1.09923280 50.79387750,-1.09923118 50.79386198,-1.09909832 50.79386749,-1.09910354 50.79391924,-1.09900722 50.79392342,-1.09900669 50.79392302,-1.09900439 50.79392312,-1.09900459 50.79392494,-1.09900172 50.79392506,-1.09900198 50.79392747,-1.09900277 50.79392805,-1.09900446 50.79394357,-1.09899812 50.79394389,-1.09899832 50.79394543,-1.09900795 50.79394493,-1.09900954 50.79395962,-1.09899985 50.79396013,-1.09900005 50.79396160,-1.09900622 50.79396128,-1.09900673 50.79396578,-1.09900614 50.79396670,-1.09900638 50.79396866,-1.09900721 50.79396935,-1.09902933 50.79417930,-1.09902282 50.79417957,-1.09902299 50.79418121,-1.09902946 50.79418094,-1.09903304 50.79418078,-1.09903474 50.79419521,-1.09902446 50.79419570,-1.09902464 50.79419727,-1.09903115 50.79419696,-1.09903301 50.79421434,-1.09903226 50.79421437,-1.09903286 50.79422055,-1.09903144 50.79422060,-1.09903144 50.79422060,-1.09906503 50.79454629,-1.09906505 50.79454645,-1.09903744 50.79454759,-1.09901057 50.79454877,-1.09901255 50.79456878,-1.09901462 50.79458971,-1.09901488 50.79459228,-1.09901506 50.79459400,-1.09901511 50.79459455,-1.09907186 50.79459202,-1.09907220 50.79459440,-1.09907408 50.79461146,-1.09906756 50.79461161,-1.09906765 50.79461313,-1.09907427 50.79461298,-1.09907574 50.79462762,-1.09906927 50.79462781,-1.09906937 50.79462925,-1.09907588 50.79462912,-1.09907604 50.79463216,-1.09907641 50.79463569,-1.09908039 50.79467362,-1.09908081 50.79467687,-1.09908462 50.79471490,-1.09908462 50.79471490,-1.09908491 50.79471817,-1.09908491 50.79471817,-1.09908872 50.79475616,-1.09908872 50.79475616,-1.09908917 50.79475925,-1.09908917 50.79475925,-1.09909300 50.79479730,-1.09909300 50.79479730,-1.09909341 50.79480086,-1.09909341 50.79480086,-1.09909725 50.79483858,-1.09909725 50.79483858,-1.09909769 50.79484194,-1.09909769 50.79484194,-1.09909785 50.79484358,-1.09909155 50.79484379,-1.09909167 50.79484532,-1.09909811 50.79484511,-1.09909811 50.79484511,-1.09909961 50.79485970,-1.09909324 50.79485995,-1.09909338 50.79486137,-1.09909975 50.79486112,-1.09910171 50.79487997,-1.09910124 50.79488058,-1.09910149 50.79488284,-1.09910442 50.79488271,-1.09910463 50.79488465,-1.09954177 50.79486556,-1.09954169 50.79486484,-1.09954421 50.79486473,-1.09954403 50.79486309,-1.09954525 50.79486303,-1.09953848 50.79479901,-1.09953661 50.79477870)))",BLD-T0022
"MULTIPOLYGON (((-1.09827124 50.79646651,-1.09829746 50.79644756,-1.09830133 50.79645473,-1.09835017 50.79644423,-1.09833480 50.79641628,-1.09842359 50.79639717,-1.09850130 50.79654370,-1.09830366 50.79658594,-1.09827209 50.79652855,-1.09827124 50.79646651)))",BLD-US304
"MULTIPOLYGON (((-1.10215613 50.79429824,-1.10215464 50.79429926,-1.10214677 50.79429450,-1.10212324 50.79431034,-1.10212732 50.79431281,-1.10212406 50.79431497,-1.10211979 50.79431246,-1.10209898 50.79430023,-1.10208984 50.79430632,-1.10211042 50.79431871,-1.10213537 50.79433374,-1.10217166 50.79430955,-1.10216391 50.79430487,-1.10216553 50.79430376,-1.10215613 50.79429824,-1.10215613 50.79429824)))",BLD-T0030
"MULTIPOLYGON (((-1.09780276 50.79445397,-1.09780106 50.79445104,-1.09778237 50.79445546,-1.09778412 50.79445843,-1.09780276 50.79445397)))",BLD-IDTNC
